No,Date,Start_time,End_time,hall,Now_show
1,2021-10-31,8:00:00,10:01:02,1,LionKing
2,2021-10-31,11:00:00,13:01:02,1,LionKing
3,2021-10-31,14:00:00,16:01:02,1,LionKing
4,2021-10-31,17:00:00,19:01:02,1,LionKing
5,2021-10-31,20:00:00,22:01:02,1,LionKing
6,2021-10-31,22:00:00,"1 day, 0:01:02",1,LionKing
7,2021-10-31,8:00:00,10:01:02,2,LionKing
8,2021-10-31,11:00:00,13:01:02,2,LionKing
9,2021-10-31,14:00:00,16:01:02,2,LionKing
10,2021-10-31,17:00:00,19:01:02,2,LionKing
11,2021-10-31,20:00:00,22:01:02,2,LionKing
12,2021-10-31,22:00:00,"1 day, 0:01:02",2,LionKing
13,2021-11-01,8:00:00,10:01:02,1,LionKing
14,2021-11-01,11:00:00,13:01:02,1,LionKing
15,2021-11-01,14:00:00,15:45:30,1,Rio
16,2021-11-01,17:00:00,19:01:02,1,LionKing
17,2021-11-01,20:00:00,21:45:30,1,Rio
18,2021-11-01,22:00:00,"1 day, 0:01:02",1,LionKing
19,2021-11-01,8:00:00,10:01:02,2,LionKing
20,2021-11-01,11:00:00,13:01:02,2,LionKing
21,2021-11-01,14:00:00,16:01:02,2,LionKing
22,2021-11-01,17:00:00,19:01:02,2,LionKing
23,2021-11-01,20:00:00,21:45:30,2,Rio
24,2021-11-01,22:00:00,"1 day, 0:01:02",2,LionKing
25,2021-11-02,8:00:00,10:01:02,1,LionKing
26,2021-11-02,11:00:00,13:01:02,1,LionKing
27,2021-11-02,14:00:00,16:01:02,1,LionKing
28,2021-11-02,17:00:00,19:01:02,1,LionKing
29,2021-11-02,20:00:00,22:01:02,1,LionKing
30,2021-11-02,22:00:00,"1 day, 0:01:02",1,LionKing
31,2021-11-02,8:00:00,9:45:30,2,Rio
32,2021-11-02,11:00:00,12:45:30,2,Rio
33,2021-11-02,14:00:00,15:45:30,2,Rio
34,2021-11-02,17:00:00,18:45:30,2,Rio
35,2021-11-02,20:00:00,22:01:02,2,LionKing
36,2021-11-02,22:00:00,23:45:30,2,Rio
37,2021-11-03,8:00:00,9:45:30,1,Rio
38,2021-11-03,11:00:00,12:45:30,1,Rio
39,2021-11-03,14:00:00,16:01:02,1,LionKing
40,2021-11-03,17:00:00,19:01:02,1,LionKing
41,2021-11-03,20:00:00,21:45:30,1,Rio
42,2021-11-03,22:00:00,23:45:30,1,Rio
43,2021-11-03,8:00:00,9:45:30,2,Rio
44,2021-11-03,11:00:00,12:45:30,2,Rio
45,2021-11-03,14:00:00,15:45:30,2,Rio
46,2021-11-03,17:00:00,19:01:02,2,LionKing
47,2021-11-03,20:00:00,21:45:30,2,Rio
48,2021-11-03,22:00:00,23:45:30,2,Rio
49,2021-11-04,8:00:00,10:01:02,1,LionKing
50,2021-11-04,11:00:00,12:45:30,1,Rio
51,2021-11-04,14:00:00,16:01:02,1,LionKing
52,2021-11-04,17:00:00,18:45:30,1,Rio
53,2021-11-04,20:00:00,22:01:02,1,LionKing
54,2021-11-04,22:00:00,"1 day, 0:01:02",1,LionKing
55,2021-11-04,8:00:00,10:01:02,2,LionKing
56,2021-11-04,11:00:00,13:01:02,2,LionKing
57,2021-11-04,14:00:00,16:01:02,2,LionKing
58,2021-11-04,17:00:00,18:45:30,2,Rio
59,2021-11-04,20:00:00,22:01:02,2,LionKing
60,2021-11-04,22:00:00,"1 day, 0:01:02",2,LionKing
61,2021-11-05,8:00:00,10:01:02,1,LionKing
62,2021-11-05,11:00:00,13:10:20,1,Anabelle
63,2021-11-05,14:00:00,15:45:30,1,Rio
64,2021-11-05,17:00:00,18:45:30,1,Rio
65,2021-11-05,20:00:00,22:10:20,1,Anabelle
66,2021-11-05,22:00:00,"1 day, 0:01:02",1,LionKing
67,2021-11-05,8:00:00,10:01:02,2,LionKing
68,2021-11-05,11:00:00,13:01:02,2,LionKing
69,2021-11-05,14:00:00,15:45:30,2,Rio
70,2021-11-05,17:00:00,19:10:20,2,Anabelle
71,2021-11-05,20:00:00,22:01:02,2,LionKing
72,2021-11-05,22:00:00,"1 day, 0:10:20",2,Anabelle
73,2021-11-06,8:00:00,10:01:02,1,LionKing
74,2021-11-06,11:00:00,12:45:30,1,Rio
75,2021-11-06,14:00:00,16:10:20,1,Anabelle
76,2021-11-06,17:00:00,19:10:20,1,Anabelle
77,2021-11-06,20:00:00,22:01:02,1,LionKing
78,2021-11-06,22:00:00,23:45:30,1,Rio
79,2021-11-06,8:00:00,10:01:02,2,LionKing
80,2021-11-06,11:00:00,13:01:02,2,LionKing
81,2021-11-06,14:00:00,16:01:02,2,LionKing
82,2021-11-06,17:00:00,19:10:20,2,Anabelle
83,2021-11-06,20:00:00,22:01:02,2,LionKing
84,2021-11-06,22:00:00,"1 day, 0:01:02",2,LionKing
85,2021-11-07,8:00:00,10:10:20,1,Anabelle
86,2021-11-07,11:00:00,12:45:30,1,Rio
87,2021-11-07,14:00:00,15:45:30,1,Rio
88,2021-11-07,17:00:00,19:10:20,1,Anabelle
89,2021-11-07,20:00:00,22:01:02,1,LionKing
90,2021-11-07,22:00:00,23:45:30,1,Rio
91,2021-11-07,8:00:00,9:45:30,2,Rio
92,2021-11-07,11:00:00,13:01:02,2,LionKing
93,2021-11-07,14:00:00,16:01:02,2,LionKing
94,2021-11-07,17:00:00,18:45:30,2,Rio
95,2021-11-07,20:00:00,22:10:20,2,Anabelle
96,2021-11-07,22:00:00,"1 day, 0:10:20",2,Anabelle
97,2021-11-08,8:00:00,9:45:30,1,Rio
98,2021-11-08,11:00:00,12:45:30,1,Rio
99,2021-11-08,14:00:00,16:01:02,1,LionKing
100,2021-11-08,17:00:00,18:45:30,1,Rio
101,2021-11-08,20:00:00,22:01:02,1,LionKing
102,2021-11-08,22:00:00,23:45:30,1,Rio
103,2021-11-08,8:00:00,9:45:30,2,Rio
104,2021-11-08,11:00:00,13:10:20,2,Anabelle
105,2021-11-08,14:00:00,16:01:02,2,LionKing
106,2021-11-08,17:00:00,19:01:02,2,LionKing
107,2021-11-08,20:00:00,21:45:30,2,Rio
108,2021-11-08,22:00:00,"1 day, 0:10:20",2,Anabelle
